/home/rejk/Downloads/prj/dlproject-again/venv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:282: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
[(0,0,27)]: wandb not resumed
[(0,0,27)]: Epoch 1
[TRAIN(0,0,50)]: i: 0, train_loss: 1.3863706588745117
[TRAIN(0,0,57)]: i: 1, train_loss: 1.3865249156951904
[TRAIN(0,1,4)]: i: 2, train_loss: 1.3862078189849854
[TRAIN(0,1,9)]: i: 3, train_loss: 1.3864935636520386
[TRAIN(0,1,15)]: i: 4, train_loss: 1.3861154317855835
[TRAIN(0,1,23)]: i: 5, train_loss: 1.385961651802063
[TRAIN(0,1,28)]: i: 6, train_loss: 1.385655403137207
[TRAIN(0,1,33)]: i: 7, train_loss: 1.385330319404602
[TRAIN(0,1,39)]: i: 8, train_loss: 1.3848508596420288
[TRAIN(0,1,45)]: i: 9, train_loss: 1.385728120803833
[TRAIN(0,1,51)]: i: 10, train_loss: 1.384831190109253
[TRAIN(0,1,57)]: i: 11, train_loss: 1.3841767311096191
[TRAIN(0,2,2)]: i: 12, train_loss: 1.3853323459625244
[TRAIN(0,2,8)]: i: 13, train_loss: 1.3830710649490356
[TRAIN(0,2,13)]: i: 14, train_loss: 1.3851252794265747
[TRAIN(0,2,19)]: i: 15, train_loss: 1.383235216140747
[TRAIN(0,2,24)]: i: 16, train_loss: 1.3823843002319336
[TRAIN(0,2,29)]: i: 17, train_loss: 1.3836684226989746
[TRAIN(0,2,35)]: i: 18, train_loss: 1.385016918182373
[TRAIN(0,2,40)]: i: 19, train_loss: 1.382615327835083
[TRAIN(0,2,46)]: i: 20, train_loss: 1.3806698322296143
[TRAIN(0,2,51)]: i: 21, train_loss: 1.3801320791244507
[TRAIN(0,2,57)]: i: 22, train_loss: 1.3804125785827637
[TRAIN(0,3,3)]: i: 23, train_loss: 1.3821697235107422
[TRAIN(0,3,8)]: i: 24, train_loss: 1.3782340288162231
[TRAIN(0,3,13)]: i: 25, train_loss: 1.3811616897583008
[TRAIN(0,3,20)]: i: 26, train_loss: 1.3766754865646362
[TRAIN(0,3,26)]: i: 27, train_loss: 1.3813520669937134
[TRAIN(0,3,31)]: i: 28, train_loss: 1.37993586063385
[TRAIN(0,3,37)]: i: 29, train_loss: 1.3778403997421265
[TRAIN(0,3,42)]: i: 30, train_loss: 1.3722989559173584
[TRAIN(0,3,47)]: i: 31, train_loss: 1.3760015964508057
[TRAIN(0,3,53)]: i: 32, train_loss: 1.371730089187622
[TRAIN(0,3,58)]: i: 33, train_loss: 1.3748974800109863
[TRAIN(0,4,3)]: i: 34, train_loss: 1.3788005113601685
[TRAIN(0,4,8)]: i: 35, train_loss: 1.3810474872589111
[TRAIN(0,4,15)]: i: 36, train_loss: 1.377888560295105
[TRAIN(0,4,22)]: i: 37, train_loss: 1.3726472854614258
[TRAIN(0,4,27)]: i: 38, train_loss: 1.3766003847122192
[TRAIN(0,4,32)]: i: 39, train_loss: 1.375549554824829
[TRAIN(0,4,38)]: i: 40, train_loss: 1.3772993087768555
[TRAIN(0,4,44)]: i: 41, train_loss: 1.3763548135757446
[TRAIN(0,4,49)]: i: 42, train_loss: 1.3748732805252075
[TRAIN(0,4,55)]: i: 43, train_loss: 1.3662601709365845
[TRAIN(0,5,0)]: i: 44, train_loss: 1.3725831508636475
[TRAIN(0,5,6)]: i: 45, train_loss: 1.3674699068069458
[TRAIN(0,5,11)]: i: 46, train_loss: 1.3829660415649414
[TRAIN(0,5,16)]: i: 47, train_loss: 1.3719780445098877
[TRAIN(0,5,22)]: i: 48, train_loss: 1.3659675121307373
[TRAIN(0,5,27)]: i: 49, train_loss: 1.3602731227874756
[TRAIN(0,5,32)]: i: 50, train_loss: 1.3732041120529175
[TRAIN(0,5,38)]: i: 51, train_loss: 1.3665162324905396
[TRAIN(0,5,44)]: i: 52, train_loss: 1.3652534484863281
[TRAIN(0,5,51)]: i: 53, train_loss: 1.365106463432312
[TRAIN(0,5,58)]: i: 54, train_loss: 1.3639962673187256
[TRAIN(0,6,4)]: i: 55, train_loss: 1.3773092031478882
[TRAIN(0,6,11)]: i: 56, train_loss: 1.3620024919509888
[TRAIN(0,6,16)]: i: 57, train_loss: 1.367895483970642
[TRAIN(0,6,22)]: i: 58, train_loss: 1.3623946905136108
[TRAIN(0,6,28)]: i: 59, train_loss: 1.3585392236709595
[TRAIN(0,6,33)]: i: 60, train_loss: 1.3691083192825317
[TRAIN(0,6,38)]: i: 61, train_loss: 1.360924243927002
[TRAIN(0,6,44)]: i: 62, train_loss: 1.361849308013916
[TRAIN(0,6,49)]: i: 63, train_loss: 1.3625565767288208
[TRAIN(0,6,55)]: i: 64, train_loss: 1.3690818548202515
[TRAIN(0,7,0)]: i: 65, train_loss: 1.3530210256576538
[TRAIN(0,7,5)]: i: 66, train_loss: 1.3520749807357788
[TRAIN(0,7,11)]: i: 67, train_loss: 1.3641060590744019
[TRAIN(0,7,16)]: i: 68, train_loss: 1.356351613998413
[TRAIN(0,7,21)]: i: 69, train_loss: 1.3691344261169434
[TRAIN(0,7,27)]: i: 70, train_loss: 1.3618532419204712
[TRAIN(0,7,32)]: i: 71, train_loss: 1.348569631576538
[TRAIN(0,7,37)]: i: 72, train_loss: 1.3500652313232422
[TRAIN(0,7,43)]: i: 73, train_loss: 1.3497601747512817
[TRAIN(0,7,48)]: i: 74, train_loss: 1.3508392572402954
[TRAIN(0,7,53)]: i: 75, train_loss: 1.3552968502044678
[TRAIN(0,7,58)]: i: 76, train_loss: 1.3495088815689087
[TRAIN(0,8,3)]: i: 77, train_loss: 1.3478184938430786
[TRAIN(0,8,9)]: i: 78, train_loss: 1.3441823720932007
[TRAIN(0,8,14)]: i: 79, train_loss: 1.344592809677124
[TRAIN(0,8,20)]: i: 80, train_loss: 1.3536571264266968
[TRAIN(0,8,25)]: i: 81, train_loss: 1.356249213218689
[TRAIN(0,8,30)]: i: 82, train_loss: 1.3450478315353394
[TRAIN(0,8,35)]: i: 83, train_loss: 1.3429040908813477
[TRAIN(0,8,41)]: i: 84, train_loss: 1.3458722829818726
[TRAIN(0,8,46)]: i: 85, train_loss: 1.3340650796890259
[TRAIN(0,8,52)]: i: 86, train_loss: 1.3497881889343262
[TRAIN(0,8,57)]: i: 87, train_loss: 1.3416155576705933
[TRAIN(0,9,3)]: i: 88, train_loss: 1.3498108386993408
[TRAIN(0,9,8)]: i: 89, train_loss: 1.3679063320159912
[TRAIN(0,9,13)]: i: 90, train_loss: 1.3387415409088135
[TRAIN(0,9,18)]: i: 91, train_loss: 1.3254903554916382
[TRAIN(0,9,24)]: i: 92, train_loss: 1.3518370389938354
[TRAIN(0,9,29)]: i: 93, train_loss: 1.3366323709487915
[TRAIN(0,9,34)]: i: 94, train_loss: 1.3429054021835327
[TRAIN(0,9,40)]: i: 95, train_loss: 1.3363251686096191
[TRAIN(0,9,45)]: i: 96, train_loss: 1.3540234565734863
[TRAIN(0,9,50)]: i: 97, train_loss: 1.332127571105957
[TRAIN(0,9,55)]: i: 98, train_loss: 1.3233537673950195
[TRAIN(0,10,0)]: i: 99, train_loss: 1.3175781965255737
[TRAIN(0,10,10)]: i: 100, train_loss: 1.322277307510376
[TRAIN(0,10,19)]: i: 101, train_loss: 1.327123999595642
[TRAIN(0,10,28)]: i: 102, train_loss: 1.3226510286331177
[TRAIN(0,10,35)]: i: 103, train_loss: 1.3210052251815796
[TRAIN(0,10,41)]: i: 104, train_loss: 1.316149353981018
[TRAIN(0,10,46)]: i: 105, train_loss: 1.313357949256897
[TRAIN(0,10,51)]: i: 106, train_loss: 1.3252105712890625
